                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5549,                 2.4398,                 2.2746,                  1.121,                0.50809,                0.56122,                0.59019,                0.40202,                0.50868,                0.56159,                0.58901,                0.36807,                 1.1794,                 1.8448,                 1.8947,                 1.0538,               0.066906,             3.3128e-05,             3.3128e-05
                      2,                 1.2929,                 1.8853,                 1.2433,                 1.0192,                0.73024,                0.79907,                 0.8408,                0.64281,                0.72995,                 0.7987,                0.84103,                0.53761,                0.95755,                 1.2547,                0.89882,                0.96216,               0.033605,             6.5803e-05,             6.5803e-05
                      3,                 1.2116,                 1.7229,                 1.0293,                0.99171,                 0.9584,                0.89479,                0.96753,                0.75829,                 0.9584,                0.89479,                0.96753,                 0.6479,                0.92374,                 1.0599,                0.73343,                0.93294,             0.00030358,             9.7818e-05,             9.7818e-05
                      4,                 1.1584,                 1.6084,                0.88795,                0.97806,                0.98268,                0.94558,                0.99161,                0.79053,                0.98268,                0.94558,                0.99161,                0.69052,                 0.8822,                0.99736,                0.63555,                0.92756,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.1324,                 1.5653,                0.81673,                0.97165,                0.94768,                0.97167,                0.99314,                 0.8027,                0.94768,                0.97167,                 0.9932,                0.70119,                 0.8431,                0.99233,                0.62024,                0.92038,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                 1.1051,                 1.4891,                 0.7681,                0.96493,                0.98562,                0.98978,                0.99341,                0.80786,                0.98598,                0.99015,                0.99302,                0.70206,                 0.8179,                0.93407,                0.56503,                 0.9046,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                 1.0788,                 1.4651,                0.73552,                0.95501,                0.99006,                0.98612,                0.99333,                0.82489,                0.99008,                0.98699,                 0.9935,                0.71195,                 0.7874,                 0.8982,                0.55306,                0.90202,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                 1.0624,                 1.4243,                0.71115,                0.95266,                0.98846,                0.99057,                 0.9929,                0.83342,                0.98923,                0.99113,                0.99301,                 0.7139,                0.75995,                0.89775,                0.54372,                0.89627,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                 1.0419,                 1.4174,                 0.6855,                 0.9467,                0.98807,                0.99517,                0.99375,                0.83702,                0.98966,                0.99542,                0.99399,                0.72009,                0.77237,                0.93792,                0.52758,                0.89188,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                 1.0377,                 1.3762,                0.67547,                0.94593,                0.98447,                0.99442,                0.99344,                0.84421,                0.98521,                0.99517,                0.99351,                0.71406,                0.75614,                0.86442,                0.51465,                0.88646,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                 1.0224,                 1.3745,                0.65961,                0.94009,                0.99157,                0.99286,                0.99349,                0.82951,                0.99123,                0.99294,                 0.9935,                0.70704,                0.77587,                0.85989,                0.51193,                 0.8873,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                 1.0172,                 1.3714,                0.65463,                0.93962,                0.98823,                 0.9948,                0.99384,                0.85499,                 0.9886,                0.99517,                0.99398,                0.74089,                0.70281,                0.83746,                0.49354,                0.87621,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                  1.005,                 1.3386,                0.64115,                0.93754,                0.98856,                0.99554,                0.99359,                0.85132,                0.98856,                0.99554,                0.99356,                0.72104,                 0.7354,                0.89935,                0.49532,                0.88278,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                 1.0004,                 1.3318,                0.63655,                0.93494,                0.98721,                0.99481,                0.99392,                0.85517,                0.98785,                 0.9957,                0.99398,                0.74771,                0.71077,                0.81277,                0.48238,                0.86602,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.98605,                 1.3263,                0.62283,                 0.9302,                0.98928,                0.99665,                0.99426,                 0.8512,                0.98964,                0.99703,                0.99429,                0.72229,                0.72523,                0.83896,                0.48458,                0.87873,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.97485,                 1.2824,                0.60923,                0.92632,                0.99156,                0.99405,                0.99417,                0.85921,                0.99194,                0.99442,                0.99422,                0.74564,                0.69141,                 0.8002,                0.46893,                0.86791,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.96273,                 1.2715,                0.60304,                 0.9258,                0.99254,                0.99223,                0.99411,                0.86649,                0.99254,                0.99223,                0.99414,                0.74966,                0.71214,                0.82881,                0.46331,                0.86942,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.96561,                 1.2763,                0.60096,                 0.9275,                 0.9834,                  0.999,                0.99423,                0.86161,                0.98375,                0.99937,                0.99426,                0.74545,                0.68318,                0.80515,                0.46031,                0.85582,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                0.94971,                 1.2483,                0.59168,                0.92131,                0.99087,                0.99851,                0.99404,                0.87124,                0.99087,                0.99851,                0.99404,                 0.7562,                0.67199,                0.78087,                0.45331,                0.86599,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.95701,                 1.2519,                0.59227,                 0.9224,                0.99084,                0.99657,                0.99396,                0.86093,                0.99077,                0.99661,                0.99397,                 0.7506,                0.67391,                0.77729,                0.45514,                0.86173,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.95633,                 1.2698,                0.58815,                0.92228,                0.99096,                0.99517,                0.99373,                0.86525,                0.99096,                0.99517,                0.99373,                0.76051,                0.66677,                0.77133,                0.44283,                0.86398,              8.119e-05,              8.119e-05,              8.119e-05
                     22,                0.94011,                 1.2409,                0.57805,                 0.9183,                0.98993,                0.99814,                0.99418,                0.87507,                 0.9903,                0.99851,                 0.9942,                0.75473,                0.66021,                0.77341,                0.44316,                0.86268,               8.02e-05,               8.02e-05,               8.02e-05
                     23,                0.94073,                 1.2485,                0.57404,                0.91862,                0.99332,                0.99331,                0.99444,                0.87838,                0.98962,                0.99699,                0.99444,                0.75443,                0.64836,                0.75543,                0.43097,                0.85632,              7.921e-05,              7.921e-05,              7.921e-05
